Age,Attrition,BusinessTravel,DailyRate,dept_id,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over_time,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1,Travel_Rarely,1102,1,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,8,1,11,3,1,0,8,0,1,6,4,0,5
49,0,Travel_Frequently,279,2,8,1,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,5130,1,0,23,4,4,1,10,3,3,10,7,1,7
37,1,Travel_Rarely,1373,2,2,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,6,1,15,3,2,0,7,3,3,0,0,0,0
33,0,Travel_Frequently,1392,2,3,4,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,2909,1,1,11,3,3,0,8,3,3,8,7,3,0
27,0,Travel_Rarely,591,2,2,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,9,0,12,3,4,1,6,3,3,2,2,2,2
32,0,Travel_Frequently,1005,2,2,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,0,0,13,3,3,0,8,2,2,7,7,3,6
59,0,Travel_Rarely,1324,2,3,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,4,1,20,4,1,3,12,3,2,1,0,0,0
30,0,Travel_Rarely,1358,2,24,1,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,1,0,22,4,2,1,1,2,3,1,0,0,0
38,0,Travel_Frequently,216,2,23,3,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,0,0,21,4,2,0,10,2,3,9,7,1,8
36,0,Travel_Rarely,1299,2,27,3,Medical,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,6,0,13,3,2,2,17,3,2,7,7,7,7
35,0,Travel_Rarely,809,2,16,3,Medical,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,0,0,13,3,3,1,6,5,3,5,4,0,3
29,0,Travel_Rarely,153,2,15,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,0,1,12,3,4,0,10,3,3,9,5,0,8
31,0,Travel_Rarely,670,2,26,1,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,1,0,17,3,4,1,5,1,2,5,2,4,3
34,0,Travel_Rarely,1346,2,19,2,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,0,0,11,3,3,1,3,2,3,2,2,1,2
28,1,Travel_Rarely,103,2,24,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,5,1,14,3,2,0,6,4,3,4,2,0,3
29,0,Travel_Rarely,1389,2,21,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,1,0,11,3,3,1,10,1,3,10,9,8,8
32,0,Travel_Rarely,334,2,5,2,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,0,1,12,3,4,2,7,5,2,6,2,0,5
22,0,Non-Travel,1123,2,16,2,Medical,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,1,1,13,3,2,2,1,2,2,1,0,0,0
53,0,Travel_Rarely,1219,1,2,4,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,15427,2,0,16,3,3,0,31,3,3,25,8,3,7
38,0,Travel_Rarely,371,2,2,3,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,3944,5,1,11,3,3,0,6,3,3,3,2,1,2
24,0,Non-Travel,673,2,11,2,Other,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,0,0,18,3,4,1,5,5,2,4,2,1,3
36,1,Travel_Rarely,1218,1,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,3407,7,0,23,4,2,0,10,4,3,5,3,0,3
34,0,Travel_Rarely,419,2,7,4,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,11994,0,0,11,3,3,0,13,4,3,12,6,2,11
21,0,Travel_Rarely,391,2,15,2,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,1232,1,0,14,3,4,0,0,6,3,0,0,0,0
34,1,Travel_Rarely,699,2,6,1,Medical,31,2,Male,83,3,1,Research Scientist,1,Single,2960,2,0,11,3,3,0,8,2,3,4,2,1,3
53,0,Travel_Rarely,1282,2,5,3,Other,32,3,Female,58,3,5,Manager,3,Divorced,19094,4,0,11,3,4,1,26,3,2,14,13,4,8
32,1,Travel_Frequently,1125,2,16,1,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,3919,1,1,22,4,2,0,10,5,3,10,2,6,7
42,0,Travel_Rarely,691,1,8,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,6825,0,0,11,3,4,1,10,2,3,9,7,4,2
44,0,Travel_Rarely,477,2,7,4,Medical,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,3,0,14,3,4,1,24,4,3,22,6,5,17
46,0,Travel_Rarely,705,1,2,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,18947,3,0,12,3,4,0,22,2,2,2,2,2,1
33,0,Travel_Rarely,924,2,2,3,Medical,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,4,0,11,3,4,0,7,3,3,1,1,0,0
44,0,Travel_Rarely,1459,2,10,4,Other,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,2,1,13,3,4,0,9,5,4,4,2,1,3
30,0,Travel_Rarely,125,2,9,2,Medical,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,1,0,13,3,1,0,10,5,3,10,0,1,8
39,1,Travel_Rarely,895,1,5,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3,0,14,3,3,1,19,6,4,1,0,0,0
24,1,Travel_Rarely,813,2,1,3,Medical,45,2,Male,61,3,1,Research Scientist,4,Married,2293,2,1,16,3,1,1,6,2,2,2,0,2,0
43,0,Travel_Rarely,1273,2,2,2,Medical,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,1,0,12,3,4,2,6,3,2,5,3,1,4
50,1,Travel_Rarely,869,1,3,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,2683,1,1,14,3,3,0,3,2,3,3,2,0,2
35,0,Travel_Rarely,890,1,2,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,2014,1,0,13,3,1,0,2,3,3,2,2,2,2
36,0,Travel_Rarely,852,2,5,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,3419,9,1,14,3,4,1,6,3,4,1,1,0,0
33,0,Travel_Frequently,1141,1,1,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,5376,2,0,19,3,1,2,10,3,3,5,3,1,3
35,0,Travel_Rarely,464,2,4,2,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,1,0,12,3,3,1,1,3,3,1,0,0,0
27,0,Travel_Rarely,1240,2,2,4,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,1,0,13,3,4,1,1,6,3,1,0,0,0
26,1,Travel_Rarely,1357,2,25,3,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,1,0,12,3,3,0,1,2,2,1,0,0,1
27,0,Travel_Frequently,994,1,8,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,8726,1,0,15,3,4,0,9,0,3,9,8,1,7
30,0,Travel_Frequently,721,2,1,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,1,0,23,4,4,0,12,2,3,12,8,3,7
41,1,Travel_Rarely,1360,2,12,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,19545,1,0,12,3,4,0,23,0,3,22,15,15,8
34,0,Non-Travel,1065,1,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,4568,0,0,20,4,3,0,10,2,3,9,5,8,7
37,0,Travel_Rarely,408,2,19,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,3022,4,0,21,4,1,0,8,1,3,1,0,0,0
46,0,Travel_Frequently,1211,1,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,5772,4,1,21,4,3,0,14,4,3,9,6,0,8
35,0,Travel_Rarely,1229,2,8,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,1,0,19,3,4,0,1,2,3,1,0,0,1
48,1,Travel_Rarely,626,2,1,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,9,1,13,3,4,0,23,2,3,1,0,0,0
28,1,Travel_Rarely,1434,2,5,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,1,1,13,3,3,0,2,3,2,2,2,2,2
44,0,Travel_Rarely,1488,1,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,5,1,21,4,3,1,9,2,2,4,3,1,3
35,0,Non-Travel,1097,2,11,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,2,1,13,3,3,1,10,3,3,4,0,2,3
26,0,Travel_Rarely,1443,1,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,4157,7,1,19,3,3,1,5,2,2,2,2,0,0
33,0,Travel_Frequently,515,2,1,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,13458,1,1,12,3,3,0,15,1,3,15,14,8,12
35,0,Travel_Frequently,853,1,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,9069,1,0,22,4,4,1,9,3,2,9,8,1,8
35,0,Travel_Rarely,1142,2,23,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,3,1,15,3,3,1,4,3,3,2,2,2,2
31,0,Travel_Rarely,655,2,7,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,3,0,22,4,4,1,10,3,2,7,7,1,7
